zip_code,city,latitude,longitude,total_results
10011,New York,40.738371,-73.99688,18
10011,New York,40.736973,-73.99787,18
10011,New York,40.741554,-73.995403,18
10011,New York,40.740243,-73.997591,18
10011,New York,40.737891,-73.994058,18
10011,New York,40.737108,-74.000358,18
10011,New York,40.735706,-73.995058,18
10011,New York,40.742407,-73.999351,18
10011,New York,40.741515,-74.004608,18
10011,New York,40.746847,-74.001816,18
10011,New York,40.749255,-74.005914,18
10011,New York,40.737122,-73.996119,18
10011,New York,40.749296,-74.006017,18
10011,New York,40.747437,-74.007111,18
10011,New York,40.743832,-74.006578,18
10011,New York,40.741421,-74.003186,18
10011,New York,40.73237,-73.99678,18
10012,New York,40.721713,-73.987533,5
10012,New York,40.729234,-73.999013,5
10012,New York,40.73137973,-74.0007049,5
10012,New York,40.728283,-73.997251,5
10012,New York,40.72808,-73.99724,5
10013,New York,40.717522,-73.997302,12
10013,New York,40.716268,-74.009491,12
10013,New York,40.719869,-74.007447,12
10013,New York,40.717686,-74.010613,12
10013,New York,40.721801,-74.004237,12
10013,New York,40.723617,-74.010915,12
10013,New York,40.719825,-74.010137,12
10013,New York,40.716966,-73.996707,12
10013,New York,40.721658,-74.004402,12
10013,New York,40.719772,-74.010475,12
10013,New York,40.713246,-74.001,12
10013,New York,40.716079,-74.002165,12
10014,New York,40.734006,-74.009079,10
10014,New York,40.773415,-73.959234,10
10014,New York,40.735597,-74.007693,10
10014,New York,40.729364,-74.008513,10
10014,New York,40.738733,-74.006009,10
10014,New York,40.734412,-74.007184,10
10014,New York,40.740939,-74.00824,10
10014,New York,40.737537,-74.00983,10
10014,New York,40.73491,-74.001634,10
10014,New York,40.728704,-74.00765,10
10016,New York,40.74556,-73.985539,27
10016,New York,40.745603,-73.98185,27
10016,New York,40.750013,-73.978525,27
10016,New York,40.745432,-73.97956,27
10016,New York,40.742821,-73.980913,27
10016,New York,40.746022,-73.978693,27
10016,New York,40.744916,-73.980228,27
10016,New York,40.744244,-73.984116,27
